Sample,Time measurement (s),Primary load measurement (N),Rising/Falling
1546812,24.282,-100.61782,Rising
1546812,24.382,-100.63398,Falling
1546812,24.582,-100.64574,Rising
1546812,24.682,-100.67892,Falling
1546812,24.782,-100.66103,Rising
1546812,26.682,-100.32485,Falling
1546812,26.782,-100.25567,Rising
1546812,27.082,-100.22352,Falling
1546812,27.182,-100.20375,Rising
1546812,27.582,-100.14726,Falling
1546812,27.682,-100.08839,Rising
1546812,27.782,-100.12168,Falling
1546812,27.882,-100.0594,Rising
1546812,27.982,-100.06416,Falling
1546812,28.081,-100.04371,Rising
1546812,28.204,-100.85023,Falling
1546812,45.404,-241.92154,Rising
1546812,45.604,-241.11391,Falling
1546812,65.146,-499.89133,Rising
1546812,66.046,-498.81653,Falling
1546812,69.146,-500.10712,Rising
1546812,69.246,-500.11832,Falling
1546812,69.346,-500.1015,Rising
1546812,69.446,-500.10486,Falling
1546812,69.746,-500.12784,Rising
1546812,69.846,-500.19568,Falling
1546812,69.945,-500.14276,Rising
,,,
1546813,23.703,-101.07386,Rising
1546813,26.003,-100.40005,Falling
1546813,26.103,-100.34859,Rising
1546813,26.203,-100.35625,Falling
1546813,26.303,-100.31018,Rising
1546813,26.403,-100.31988,Falling
1546813,26.503,-100.3145,Rising
1546813,27.224,-100.95045,Falling
1546813,44.024,-242.4798,Rising
1546813,44.124,-242.83188,Falling
1546813,46.124,-260.31183,Rising
1546813,46.224,-261.27954,Falling
1546813,63.592,-500.07199,Rising
1546813,64.292,-499.43613,Falling
1546813,64.392,-499.41116,Rising
1546813,64.492,-499.47678,Falling
1546813,65.792,-500.19794,Rising
1546813,65.992,-500.20288,Falling
1546813,66.092,-500.09256,Rising
1546813,66.192,-500.11896,Falling
1546813,66.292,-500.04553,Rising
1546813,66.392,-500.06329,Falling
1546813,66.492,-499.97189,Rising
1546813,66.892,-499.85315,Falling
1546813,66.992,-499.75824,Rising
1546813,67.092,-499.77429,Falling
1546813,67.192,-499.7081,Rising
1546813,67.292,-499.73221,Falling
1546813,67.392,-499.71579,Rising
1546813,67.492,-499.74249,Falling
1546813,67.692,-499.74799,Rising
1546813,67.792,-499.79877,Falling
1546813,67.892,-499.77667,Rising
1546813,67.992,-499.7915,Falling
1546813,68.092,-499.76773,Rising
1546813,68.192,-499.80008,Falling
1546813,68.392,-499.82108,Rising
