Time measurement (s),Primary load measurement (N),Extension (mm)
0,0.09471,0
0.1,-0.30999,-0.03985
0.2,-0.8547,-0.13008
0.3,-1.17489,-0.21386
0.4,-1.39844,-0.29739
0.5,-1.5061,-0.3805
0.6,-1.51319,-0.46411
0.7,-1.54131,-0.54695
0.8,-1.56805,-0.63074
0.9,-1.58688,-0.71365
1,-1.60718,-0.79732
1.1,-1.62789,-0.8806
1.2,-1.65758,-0.96386
1.3,-1.70741,-1.04748
1.4,-1.76219,-1.13036
1.5,-1.8068,-1.21418
1.6,-1.81037,-1.29686
1.7,-1.81605,-1.38072
1.8,-1.83791,-1.46355
1.9,-1.85431,-1.54741
2,-1.89416,-1.63051
2.1,-1.91988,-1.71389
2.2,-1.9406,-1.79739
2.3,-1.98659,-1.88023
2.4,-2.0024,-1.96412
2.5,-2.01895,-2.0469
2.6,-2.04608,-2.13078
2.7,-2.0589,-2.21364
2.8,-2.0728,-2.29724
2.9,-2.08194,-2.38041
3,-2.10873,-2.46368
3.1,-2.12307,-2.5475
3.2,-2.14521,-2.63036
3.3,-2.15998,-2.71414
3.4,-2.17119,-2.79683
3.5,-2.17728,-2.88075
3.6,-2.18897,-2.96378
3.7,-2.18363,-3.04726
3.8,-2.20746,-3.13053
3.9,-2.21693,-3.21378
4,-2.23392,-3.29755
4.1,-2.23941,-3.38039
4.2,-2.25135,-3.46409
4.3,-2.2432,-3.54695
4.4,-2.26712,-3.63077
4.5,-2.27399,-3.71375
4.6,-2.25943,-3.79739
4.7,-2.34422,-3.88053
4.8,-2.44783,-3.96376
4.9,-2.50446,-4.04741
5,-2.57847,-4.1304
5.1,-2.63299,-4.21429
5.2,-2.69579,-4.29687
5.3,-2.76157,-4.38068
5.4,-2.82567,-4.46363
5.5,-2.91702,-4.54736
5.6,-3.01084,-4.63051
5.7,-3.10022,-4.71383
5.8,-3.19412,-4.79745
5.9,-3.28252,-4.88031
6,-3.37613,-4.96421
6.1,-3.47347,-5.04697
6.2,-3.55982,-5.13081
6.3,-3.66409,-5.21359
6.4,-3.77306,-5.29724
6.5,-3.8629,-5.38047
6.6,-3.97091,-5.46373
6.7,-4.09006,-5.54745
6.8,-4.19629,-5.63034
6.9,-4.29509,-5.71411
7,-4.42074,-5.7969
7.1,-4.51813,-5.88083
7.2,-4.82641,-5.96365
7.3,-5.16398,-6.04726
7.4,-5.52696,-6.13047
7.5,-5.89066,-6.21381
7.6,-6.26484,-6.29749
7.7,-6.65681,-6.38032
7.8,-7.05213,-6.46417
7.9,-7.44185,-6.54678
8,-7.82205,-6.63077
8.1,-8.20663,-6.71365
8.2,-8.59841,-6.79724
8.3,-8.99719,-6.88051
8.4,-9.40997,-6.96379
8.5,-9.78804,-7.04729
8.6,-10.15335,-7.1303
8.7,-10.45831,-7.2142
8.8,-10.8163,-7.29689
8.9,-11.18252,-7.38069
9,-11.55768,-7.46351
9.1,-11.93893,-7.54727
9.2,-12.32188,-7.63038
9.3,-12.70359,-7.71389
9.4,-13.10505,-7.79748
9.5,-13.50113,-7.88027
9.6,-13.91574,-7.96408
9.7,-14.32424,-8.04689
9.8,-14.74096,-8.13076
9.9,-15.13335,-8.21349
10,-15.5554,-8.29734
10.1,-15.96348,-8.38068
10.2,-16.37699,-8.46375
10.3,-16.78372,-8.5474
10.4,-17.1988,-8.63033
10.5,-17.63019,-8.71418
10.6,-18.05857,-8.79682
10.7,-18.45137,-8.88076
10.8,-18.85988,-8.96361
10.9,-19.2607,-9.04725
11,-19.69897,-9.13054
11.1,-20.16047,-9.21397
11.2,-20.60267,-9.29746
11.3,-21.08281,-9.38027
11.4,-21.56386,-9.46418
11.5,-22.05151,-9.54697
11.6,-22.57504,-9.63079
11.7,-23.09326,-9.71364
11.8,-23.63386,-9.7974
11.9,-24.18905,-9.88054
12,-24.72253,-9.96378
12.1,-25.26517,-10.04755
12.2,-25.81528,-10.13024
12.3,-26.37363,-10.21407
12.4,-26.92856,-10.29679
12.5,-27.51213,-10.3808
12.6,-28.06053,-10.46367
12.7,-28.63554,-10.54725
12.8,-29.22411,-10.63055
12.9,-29.81505,-10.7138
13,-30.41779,-10.7975
13.1,-30.99327,-10.88041
13.2,-31.59046,-10.96414
13.3,-32.19158,-11.04684
13.4,-32.82714,-11.13071
13.5,-33.4211,-11.21361
13.6,-34.0169,-11.29733
13.7,-34.6491,-11.38056
13.8,-35.2841,-11.46385
13.9,-35.93057,-11.54743
14,-36.5253,-11.63035
14.1,-37.18652,-11.71422
14.2,-37.81371,-11.79683
14.3,-38.42937,-11.88073
14.4,-39.08324,-11.96357
14.5,-39.70507,-12.04727
14.6,-40.37408,-12.13045
14.7,-41.03695,-12.21381
14.8,-41.67868,-12.29754
14.9,-42.27409,-12.38025
15,-42.93746,-12.46409
15.1,-43.58661,-12.54692
15.2,-44.21799,-12.63066
15.3,-44.84506,-12.71358
15.4,-45.47,-12.7972
15.5,-46.08039,-12.88047
15.6,-46.68255,-12.96387
15.7,-47.27693,-13.04751
15.8,-47.90055,-13.13039
15.9,-48.58439,-13.21404
16,-49.22322,-13.29683
16.1,-49.89817,-13.38072
16.2,-50.56185,-13.46364
16.3,-51.23244,-13.54727
16.4,-51.92843,-13.63051
16.5,-52.58561,-13.71391
16.6,-53.2872,-13.7974
16.7,-53.98847,-13.88038
16.8,-54.66073,-13.96408
16.9,-55.34624,-14.04681
17,-56.03025,-14.13064
17.1,-56.73964,-14.21375
17.2,-57.40907,-14.29733
17.3,-58.08579,-14.38052
17.4,-58.79403,-14.46385
17.5,-59.49747,-14.54754
17.6,-60.15921,-14.63041
17.7,-60.86555,-14.71408
17.8,-61.56753,-14.79687
17.9,-62.25984,-14.88067
18,-62.96236,-14.9636
18.1,-63.6635,-15.0475
18.2,-64.37069,-15.13055
18.3,-65.07787,-15.21375
18.4,-65.78311,-15.2974
18.5,-66.488,-15.38033
18.6,-67.20129,-15.46413
18.7,-67.89001,-15.54684
18.8,-68.61617,-15.63071
18.9,-69.32724,-15.7136
19,-70.04225,-15.79736
19.1,-70.74872,-15.8806
19.2,-71.47495,-15.96382
19.3,-72.18472,-16.04744
19.4,-72.89315,-16.13034
19.5,-73.60749,-16.2141
19.6,-74.31261,-16.2969
19.7,-75.03296,-16.38068
19.8,-75.7478,-16.46364
19.9,-76.47228,-16.54721
20,-77.1807,-16.63054
20.1,-77.896,-16.71387
20.2,-78.63383,-16.79741
20.3,-79.33897,-16.88033
20.4,-80.05897,-16.96406
20.5,-80.78049,-17.0469
20.6,-81.50816,-17.13075
20.7,-82.23241,-17.21365
20.8,-82.96771,-17.29731
20.9,-83.69077,-17.38043
21,-84.40838,-17.46379
21.1,-85.15709,-17.54748
21.2,-85.87006,-17.63024
21.3,-86.60645,-17.71411
21.4,-87.32139,-17.7968
21.5,-88.06454,-17.88074
21.6,-88.78828,-17.96363
21.7,-89.53093,-18.04738
21.8,-90.27773,-18.13055
21.9,-91.02794,-18.21386
22,-91.77898,-18.29747
22.1,-92.533,-18.38044
22.2,-93.29996,-18.46405
22.3,-94.04041,-18.54693
22.4,-94.80405,-18.63074
22.5,-95.56152,-18.71371
22.6,-96.32624,-18.79737
22.7,-97.08258,-18.88052
22.8,-97.84513,-18.96392
22.9,-98.61344,-19.04736
23,-99.3828,-19.13029
23.08,-100.00353,-19.19749
23.081,-100.0108,-19.19833
23.082,-100.01806,-19.19917
23.182,-100.33134,-19.24894
23.282,-100.38091,-19.26937
23.382,-100.4162,-19.28459
23.482,-100.43368,-19.29782
23.582,-100.46305,-19.3093
23.682,-100.51536,-19.31963
23.782,-100.53717,-19.32889
23.882,-100.55432,-19.33765
23.982,-100.57206,-19.34609
24.082,-100.58888,-19.35369
24.182,-100.62591,-19.35996
24.282,-100.61782,-19.36555
24.382,-100.63398,-19.3709
24.482,-100.65118,-19.37629
24.582,-100.64574,-19.38131
24.682,-100.67892,-19.38591
24.782,-100.66103,-19.38955
24.882,-100.64625,-19.39237
24.982,-100.63676,-19.39494
25.082,-100.61594,-19.39729
25.182,-100.5996,-19.3991
25.282,-100.57991,-19.40059
25.382,-100.56171,-19.40197
25.482,-100.53632,-19.40316
25.582,-100.52318,-19.40424
25.682,-100.51635,-19.40523
25.782,-100.4698,-19.406
25.882,-100.46631,-19.40668
25.982,-100.43555,-19.40729
26.082,-100.41032,-19.40787
26.182,-100.39239,-19.40842
26.282,-100.37739,-19.40893
26.382,-100.34786,-19.40942
26.482,-100.32962,-19.40988
26.582,-100.28138,-19.41033
26.682,-100.32485,-19.41079
26.782,-100.25567,-19.41119
26.882,-100.25458,-19.4116
26.982,-100.21109,-19.41199
27.082,-100.22352,-19.41231
27.182,-100.20375,-19.4126
27.282,-100.17292,-19.41287
27.382,-100.1669,-19.41315
27.482,-100.13171,-19.41339
27.582,-100.14726,-19.41366
27.682,-100.08839,-19.41389
27.782,-100.12168,-19.41413
27.882,-100.0594,-19.41434
27.982,-100.06416,-19.41456
28.081,-100.04371,-19.41481
28.082,-100.04251,-19.41482
28.104,-100.03484,-19.41487
28.204,-100.85023,-19.46259
28.304,-101.96941,-19.55202
28.404,-102.92406,-19.63551
28.504,-103.84741,-19.71891
28.604,-104.7527,-19.80238
28.704,-105.62469,-19.88532
28.804,-106.49054,-19.96905
28.904,-107.35143,-20.05193
29.004,-108.17993,-20.13565
29.104,-109.02064,-20.21863
29.204,-109.85433,-20.30224
29.304,-110.66339,-20.38541
29.404,-111.4751,-20.46879
29.504,-112.24603,-20.55234
29.604,-113.0034,-20.63536
29.704,-113.74027,-20.71905
29.804,-114.47937,-20.8018
29.904,-115.25925,-20.88567
30.004,-116.01884,-20.9686
30.104,-116.80641,-21.05228
30.204,-117.58906,-21.13521
30.304,-118.36939,-21.21886
30.404,-119.14233,-21.30236
30.504,-119.9351,-21.38532
30.604,-120.73535,-21.46916
30.704,-121.50707,-21.55181
30.804,-122.29543,-21.63571
30.904,-123.0915,-21.71861
31.004,-123.87713,-21.80228
31.104,-124.67352,-21.8854
31.204,-125.44427,-21.96877
31.304,-126.25652,-22.05239
31.404,-127.01586,-22.1353
31.504,-127.8056,-22.21907
31.604,-128.57127,-22.30172
31.704,-129.36136,-22.38569
31.804,-130.14182,-22.4686
31.904,-130.92964,-22.55233
32.004,-131.69501,-22.63536
32.104,-132.48341,-22.71877
32.204,-133.26405,-22.80228
32.304,-134.02776,-22.88522
32.404,-134.81575,-22.96922
32.504,-135.56836,-23.0519
32.604,-136.35579,-23.13568
32.704,-137.10645,-23.21852
32.804,-137.88174,-23.30223
32.904,-138.64246,-23.3854
33.004,-139.4236,-23.46869
33.104,-140.19009,-23.5524
33.204,-140.95424,-23.63532
33.304,-141.72643,-23.7191
33.404,-142.48813,-23.80183
33.504,-143.27251,-23.88567
33.604,-144.03654,-23.96858
33.704,-144.79472,-24.05223
33.804,-145.5836,-24.13548
33.904,-146.35597,-24.21903
34.004,-147.1516,-24.3024
34.104,-147.89929,-24.38523
34.204,-148.70918,-24.46905
34.304,-149.50835,-24.55184
34.404,-150.3291,-24.63576
34.504,-151.12694,-24.71861
34.604,-151.92599,-24.80238
34.704,-152.71573,-24.88539
34.804,-153.5247,-24.96877
34.904,-154.34904,-25.05244
35.004,-155.14867,-25.13533
35.104,-155.95107,-25.21904
35.204,-156.76675,-25.30179
35.304,-157.58047,-25.38573
35.404,-158.38994,-25.46864
35.504,-159.20679,-25.55227
35.604,-160.02644,-25.63535
35.704,-160.84444,-25.71886
35.804,-161.66312,-25.80239
35.904,-162.47282,-25.88542
36.004,-163.29128,-25.96909
36.104,-164.09242,-26.05187
36.204,-164.91835,-26.13566
36.304,-165.73102,-26.21861
36.404,-166.5621,-26.30228
36.504,-167.37299,-26.38548
36.604,-168.19398,-26.46889
36.704,-169.01743,-26.55229
36.804,-169.82556,-26.63529
36.904,-170.65796,-26.71911
37.004,-171.45773,-26.80181
37.104,-172.30214,-26.88571
37.204,-173.12553,-26.9686
37.304,-173.95563,-27.05227
37.404,-174.78355,-27.13537
37.504,-175.61435,-27.21882
37.604,-176.43506,-27.30237
37.704,-177.26883,-27.38525
37.804,-178.1089,-27.46898
37.904,-178.94792,-27.5519
38.004,-179.79735,-27.63569
38.104,-180.62573,-27.71856
38.204,-181.44644,-27.8022
38.304,-182.29466,-27.88539
38.404,-183.14061,-27.96884
38.504,-183.98129,-28.05238
38.604,-184.82585,-28.1353
38.704,-185.65062,-28.21908
38.804,-186.49026,-28.30184
38.904,-187.34789,-28.38575
39.004,-188.17294,-28.46859
39.104,-189.01666,-28.55223
39.204,-189.84959,-28.63528
39.304,-190.68636,-28.7188
39.404,-191.54265,-28.80251
39.504,-192.35414,-28.88533
